hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,dropout_prob,learning_rate,batch_size,use_flash_attention,use_swiglu,use_rope,use_rms_norm,accuracy,f1,loss,perplexity,inference_time_ms,model_size_mb,total_parameters,final_train_loss
128,2,2,1024,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6877831292152404,1.9893006189796354,1.1077642440795898,17.42053985595703,4566658,0.6918414980173111
128,2,2,1024,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6833197784423828,1.9804414580032716,0.9054183959960938,17.42298126220703,4567298,0.6882630251348019
128,2,2,1024,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6866858191490174,1.9871189365956177,1.1563777923583984,18.42835235595703,4830850,0.7061621397733688
128,2,2,1024,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6826088743209839,1.9790340543323963,0.9039163589477539,18.43079376220703,4831490,0.6866636350750923
128,2,2,1024,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6813524179458618,1.9765490458575368,1.2311458587646484,17.42053985595703,4566658,0.6997256092727184
128,2,2,1024,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.686114140033722,1.9859832668502253,1.163339614868164,17.42298126220703,4567298,0.6983109749853611
128,2,4,256,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.681999083518982,1.9778276254412201,1.250910758972168,16.16657257080078,4237954,0.6948530822992325
128,2,4,256,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6865798592567444,1.986908392841956,0.9512662887573242,16.16901397705078,4238594,0.697727907449007
128,2,4,256,0.1,3e-05,32,True,False,True,True,0.422,0.2504697609001406,0.7100758848190307,2.0341456135618463,1.25579833984375,15.914619445800781,4171906,0.7282030694186687
128,2,4,256,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6824421639442444,1.9787041563190935,0.9705066680908203,15.917060852050781,4172546,0.6873871646821499
128,2,4,256,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6841729040145874,1.9821317441660042,1.256251335144043,16.16657257080078,4237954,0.6891585998237133
128,2,4,256,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6842378478050232,1.9822604754947184,1.1031389236450195,16.16901397705078,4238594,0.6936496011912823
128,2,4,256,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6812954015731811,1.9764363534132043,1.0805368423461914,15.914619445800781,4171906,0.6949972100555897
128,2,4,256,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.683612648487091,1.9810215549239782,0.9008646011352539,15.917060852050781,4172546,0.6921414397656918
128,2,4,512,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6831825199127197,1.9801696441754724,1.2021303176879883,16.92047882080078,4435586,0.6884491741657257
128,2,4,512,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6829386582374573,1.9796868155628298,0.9095907211303711,16.92292022705078,4436226,0.6914520412683487
128,2,4,512,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6839168748855591,1.9816243256616566,1.150679588317871,16.41657257080078,4303490,0.6920905187726021
128,2,4,512,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6817580828666687,1.9773510251261257,0.8021354675292969,16.41901397705078,4304130,0.6909111216664314
128,2,4,512,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6850188026428222,1.9838091360410972,1.0154247283935547,16.92047882080078,4435586,0.6941011473536491
128,2,4,512,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6858625435829162,1.985483663360794,0.9517192840576172,16.92292022705078,4436226,0.7001674249768257
128,2,4,512,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6826774244308471,1.979169721984207,1.1749744415283203,16.41657257080078,4303490,0.6997811086475849
128,2,4,512,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6824760479927063,1.9787712039625343,1.0045528411865234,16.41901397705078,4304130,0.6969608142971992
128,2,4,1024,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6814706239700318,1.9767826996711968,1.5073060989379883,18.42829132080078,4830850,0.6937538534402847
128,2,4,1024,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6824695920944214,1.9787584292581484,0.8531570434570312,18.43073272705078,4831490,0.6929772421717644
128,2,4,1024,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6809631719589233,1.9757798317899062,0.9502410888671875,17.42047882080078,4566658,0.6899388618767262
128,2,4,1024,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6901165199279785,1.993947854368183,1.1025667190551758,17.42292022705078,4567298,0.6966052241623402
128,2,4,1024,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6825580997467041,1.978933572271791,1.299905776977539,18.42829132080078,4830850,0.6905951574444771
128,2,4,1024,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.682203028678894,1.978231034947879,1.000809669494629,18.43073272705078,4831490,0.6942630223929882
128,2,4,1024,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6815529317855835,1.9769454110331437,1.0505199432373047,17.42047882080078,4566658,0.6986876428127289
128,2,4,1024,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6828478484153747,1.9795070487177504,0.6652116775512695,17.42292022705078,4567298,0.6875222846865654
128,4,2,256,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6826931829452515,1.9792009110045252,2.3413658142089844,17.42737579345703,4568450,0.6916863545775414
128,4,2,256,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6819391775131226,1.977709145236775,2.1616697311401367,17.43177032470703,4569602,0.6932052858173847
128,4,2,256,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.68240576171875,1.9786321283952046,2.105879783630371,16.92346954345703,4436354,0.6882733143866062
128,4,2,256,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.683281672000885,1.9803659918645946,1.5142440795898438,16.92786407470703,4437506,0.6910820789635181
128,4,2,256,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6831435437202453,1.9800924662063504,2.5475025177001953,17.42737579345703,4568450,0.6942924186587334
128,4,2,256,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.68409579372406,1.9819789073040712,1.8767595291137695,17.43177032470703,4569602,0.6963105872273445
128,4,2,256,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6825598955154419,1.978937125982025,2.1252870559692383,16.92346954345703,4436354,0.692225843667984
128,4,2,256,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6821370697021485,1.9781005571561858,1.6504764556884766,16.92786407470703,4437506,0.6931779384613037
